operation,direction_key,slope,signed_slope,line_bin_width,line_id,n_pixels_used,used_fallback,line_median,global_median,stripe_offset_subtracted
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-79,77,0,-0.021942475896342715,0.0006766097436699554,-0.022619085640012672
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-78,81,0,-0.018225440548720186,0.0006766097436699554,-0.018902050292390143
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-77,85,0,-0.034695969797219624,0.0006766097436699554,-0.03537257954088958
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-76,89,0,-0.013663511953806644,0.0006766097436699554,-0.0143401216974766
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-75,93,0,-0.03041489110938182,0.0006766097436699554,-0.031091500853051776
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-74,97,0,-0.03679439644857254,0.0006766097436699554,-0.037471006192242494
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-73,101,0,-0.021262589178848015,0.0006766097436699554,-0.021939198922517972
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-72,105,0,-0.027084192546142204,0.0006766097436699554,-0.02776080228981216
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-71,110,0,-0.02324529594634963,0.0006766097436699554,-0.023921905690019583
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-70,115,0,-0.007817032078696343,0.0006766097436699554,-0.008493641822366298
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-69,119,0,-0.019769212443561137,0.0006766097436699554,-0.020445822187231094
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-68,123,0,-0.014196149270331434,0.0006766097436699554,-0.01487275901400139
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-67,127,0,-0.004023507239674567,0.0006766097436699554,-0.004700116983344522
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-66,131,0,0.013076328950260938,0.0006766097436699554,0.012399719206590982
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-65,135,0,0.0007281485052607617,0.0006766097436699554,5.153876159080632e-05
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-64,139,0,0.006870074283527278,0.0006766097436699554,0.006193464539857323
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-63,143,0,-0.007829260529550951,0.0006766097436699554,-0.008505870273220906
